THREATID;SEVERITYLEVEL;LikelihoodLEVEL;RiskScore;;Common;Cloud
T-O-RAN-01;High;High;High;;T-O-RAN-01;T-GEN-01
T-O-RAN-02;High;High;High;;T-O-RAN-02;T-GEN-02
T-O-RAN-03;High;Medium;High;;T-O-RAN-03;T-GEN-03
T-O-RAN-04;Medium;High;High;;T-O-RAN-04;T-GEN-04
T-O-RAN-05;High;Medium;High;;T-O-RAN-05;T-GEN-05
T-O-RAN-06;High;High;High;;T-O-RAN-06;T-GEN-06
T-O-RAN-07;Medium;Medium;Medium;;T-O-RAN-07;T-VM-C-01
T-O-RAN-08;Medium;Medium;Medium;;T-O-RAN-08;T-VM-C-02
T-O-RAN-09;High;Medium;High;;T-O-RAN-09;T-VM-C-03
T-O-RAN-10;High;High;High;;T-O-RAN-10;T-VM-C-04
T-FRHAUL-01;High;Medium;High;;T-FRHAUL-01;T-VM-C-05
T-FRHAUL-02;High;Low;Medium;;T-FRHAUL-02;T-VM-C-06
T-MPLANE-01;Medium;Low;Low;;T-MPLANE-01;T-IMG-01
T-SPLANE-01-C1;Low;Low;Low;;T-SPLANE-01;T-IMG-02
T-SPLANE-01-C1;Medium;Medium;Medium;;T-SPLANE-02;T-IMG-03
T-SPLANE-01;Low;Medium;Low;;T-SPLANE-03;T-IMG-04
T-SPLANE-01;High;Medium;High;;T-SPLANE-04;T-VL-01
T-SPLANE-01;Low;Low;Low;;T-SPLANE-05;T-VL-02
T-SPLANE-02;High;Low;Medium;;T-CPLANE-01;T-VL-03
T-SPLANE-03;High;Low;Medium;;T-CPLANE-02;T-O2-01
T-SPLANE-04;High;Low;Medium;;T-UPLANE-01;T-OCAPI-01
T-SPLANE-05;High;Medium;High;;T-ORU-01;T-HW-01
T-CPLANE-01;Medium;Low;Low;;T-O-RU-02;T-HW-02
T-CPLANE-02;Medium;Low;Low;;T-O-RU-03;T-ADMIN-01
T-UPLANE-01;Low;Low;Low;;T-O-RU-04;T-ADMIN-02
T-ORU-01;High;Medium;High;;T-NEAR-RT-01;T-AAL-01
T-ORU-01;High;Low;Medium;;T-NEAR-RT-02;T-AAL-02
T-NEAR-RT-01;High;High;High;;T-NEAR-RT-03;T-AAL-03
T-NEAR-RT-02;High;High;High;;T-NEAR-RT-04;T-AAL-04
T-NEAR-RT-03;High;High;High;;T-NEAR-RT-05;T-AAL-05
T-NEAR-RT-04;High;Medium;High;;T-NONRTRIC-01;T-AAL-06
T-NONRTRIC-01;High;Medium;High;;T-NONRTRIC-02;T-O-CLOUD-ID-01
T-NONRTRIC-02;High;High;High;;T-NONRTRIC-03;T-O-CLOUD-ID-02
T-NONRTRIC-03;High;Medium;High;;T-NONRTRIC-04;T-O-CLOUD-ID-03
T-xAPP-01;High;High;High;;T-xApp-01;T-TS-01
T-xAPP-02;High;Medium;High;;T-xApp-02;
T-xAPP-03;High;Medium;High;;T-xApp-03;
T-xApp-04;High;Medium;High;;T-xApp-04;
T-rAPP-01;High;Medium;High;;T-rAPP-01;
T-rAPP-02;High;Medium;High;;T-rAPP-02;
T-rAPP-03;High;Medium;High;;T-rAPP-03;
T-rAPP-04;High;Medium;High;;T-rAPP-04;
T-rAPP-05;High;Medium;High;;T-rAPP-05;
T-rAPP-06;High;Medium;High;;T-rAPP-06;
T-rAPP-07;High;Medium;High;;T-rAPP-07;
T-PNF-01;High;Medium;High;;T-PNF-01;
T-SMO-01;High;High;High;;T-R1-01;
T-SMO-02;High;High;High;;T-R1-02;
T-SMO-03;Medium;Medium;Medium;;T-R1-03;
T-OPENSRC-01;High;High;High;;T-R1-04;
T-OPENSRC-02;High;Medium;High;;T-R1-05;
T-PHYS-01;High;Medium;High;;T-R1-06;
T-PHYS-02;High;Medium;High;;T-R1-07;
T-RADIO-01;High;High;High;;T-A1-01;
T-RADIO-02;Medium;High;High;;T-A1-02;
T-R1-01;High;Medium;High;;T-A1-03;
T-R1-02;High;Medium;High;;T-AppLCM-01;
T-R1-03;High;High;High;;T-AppLCM-02;
T-R1-04;High;High;High;;T-AppLCM-03;
T-R1-05;High;High;High;;T-AppLCM-04;
T-R1-06;High;Medium;High;;T-AppLCM-05;
T-R1-07;High;High;High;;T-AppLCM-06;
T-A1-01;High;Medium;High;;T-AppLCM-07;
T-A1-02;High;High;High;;T-E2-01;
T-A1-03;High;Medium;High;;T-E2-02;
T-GEN-01;Medium;High;High;;T-E2-03;
T-GEN-01;High;High;High;;T-Y1-01;
T-GEN-02;Medium;High;High;;T-Y1-02;
T-GEN-03;Medium;High;High;;T-Y1-03;
T-GEN-03;High;High;High;;;
T-GEN-04;High;High;High;;;
T-GEN-05;Medium;High;High;;;
T-GEN-05;Medium;Medium;Medium;;;
T-GEN-06;Medium;Medium;Medium;;;
T-VM-C-01;High;High;High;;;
T-VM-C-02;High;Medium;High;;;
T-VM-C-03;High;High;High;;;
T-VM-C-04;High;Medium;High;;;
T-VM-C-04;High;High;High;;;
T-VM-C-05;High;Medium;High;;;
T-VM-C-06;High;High;High;;;
T-IMG-01;Medium;High;High;;;
T-IMG-02;Medium;High;High;;;
T-IMG-03;Medium;High;High;;;
T-IMG-04;Medium;High;High;;;
T-VL-01;High;High;High;;;
T-VL-02;High;Medium;High;;;
T-VL-03;Medium;Medium;Medium;;;
T-O2-01;Low;High;Medium;;;
T-OCAPI-01;Low;High;Medium;;;
T-HW-01;High;High;High;;;
T-HW-02;High;High;High;;;
T-AAL-01;High;Medium;High;;;
T-AAL-02;High;Medium;High;;;
T-AAL-03;High;High;High;;;
T-AAL-03;High;Medium;High;;;
T-AAL-04;High;Medium;High;;;
T-AAL-05;High;High;High;;;
T-AAL-05;High;Medium;High;;;
T-AAL-06;High;High;High;;;
T-AAL-06;High;Medium;High;;;
T-O-CLOUD-ID-01;High;High;High;;;
T-O-CLOUD-ID-02;High;High;High;;;
T-O-CLOUD-ID-03;High;High;High;;;
T-ADMIN-01;Medium;Medium;Medium;;;
T-ADMIN-02;Medium;High;High;;;
T-AIML-IM-1;High;Low;Medium;;;
T-AIML-IM-2;High;Low;Medium;;;
T-AIML-IM-3;High;Low;Medium;;;
T-AIML-IM-4;High;Low;Medium;;;
T-AIML-DP-01;High;Medium;High;;;
T-AIML-DP-02;High;Medium;High;;;
T-AIML-DP-03;High;Medium;High;;;
T-AIML-MEI-01;High;Medium;High;;;
T-AIML-MEI-02;High;Medium;High;;;
T-AIML-MEI-03;High;Medium;High;;;
T-AIML-ME-01;High;Low;Medium;;;
T-AIML-ME-02;High;Low;Medium;;;
T-AIML-ME-03;High;Low;Medium;;;
T-AIML-MOI-01;High;Medium;High;;;
T-AIML-MOI-02;High;Low;Medium;;;
T-AIML-SC-01;High;Medium;High ;;;
T-AIML-SC-02;High;Low;Medium;;;
T-AIML-SC-03;High;Low;Medium;;;
T-AIML-SC-04;High;Low;Medium;;;
T-AIML-SC-05;High;Low;Medium;;;
T-AIML-SC-06;High;Low;Medium;;;
T-AIML-OI-01;High;Medium;High;;;
T-AIML-OI-02;High;Medium;High;;;
T-AIML-MP-01;High;Medium;High;;;
T-AIML-MP-02;High;Medium;High;;;
T-AIML-MP-03;High;Medium;High;;;
T-AIML-MP-04;High;Low;Medium;;;
T-AIML-MS-01;High;Medium;High;;;
T-AIML-MS-02;High;Medium;High;;;
T-AIML-TL-01;High;Medium;;;;
T-AIML-TL-02;High;Low;Medium;;;
T-AIML-TL-03;High;Low;Medium;;;
T-AIML-TL-04;High;Low;Medium;;;
T-AIML-EL-01;High;Low;Medium;;;
T-AIML-EL-02;High;Low;Medium;;;
T-AIML-EL-03;High;Low;Medium;;;
T-AIML-EV-01;High;Medium;High;;;
T-TS-01;High;Medium;High;;;
